"","contest","candidate_count","year","contested","choice","party","district"
"1","NC STATE HOUSE DISTRICT 1",1,2004,"No","W.C. Bill Owens, Jr.","DEM","1"
"2","NC STATE HOUSE DISTRICT 10",2,2004,"Yes","James D. (Lew) Llewellyn","DEM","10"
"3","NC STATE HOUSE DISTRICT 10",2,2004,"Yes","Stephen Laroque","REP","10"
"4","NC STATE HOUSE DISTRICT 100",1,2004,"No","James B. (Jim) Black","DEM","100"
"5","NC STATE HOUSE DISTRICT 101",1,2004,"No","Beverly M. Earle","DEM","101"
"6","NC STATE HOUSE DISTRICT 102",1,2004,"No","Becky Carney","DEM","102"
"7","NC STATE HOUSE DISTRICT 103",3,2004,"Yes","Jim Gulley","REP","103"
"8","NC STATE HOUSE DISTRICT 103",3,2004,"Yes","Sid Sowers","DEM","103"
"9","NC STATE HOUSE DISTRICT 103",3,2004,"Yes","Stephen Burr","LIB","103"
"10","NC STATE HOUSE DISTRICT 104",1,2004,"No","Ed McMahan","REP","104"
"11","NC STATE HOUSE DISTRICT 105",1,2004,"No","Doug Vinson","REP","105"
"12","NC STATE HOUSE DISTRICT 106",1,2004,"No","Martha Alexander","DEM","106"
"13","NC STATE HOUSE DISTRICT 107",2,2004,"Yes","Kenny Houck","REP","107"
"14","NC STATE HOUSE DISTRICT 107",2,2004,"Yes","W. Pete Cunningham","DEM","107"
"15","NC STATE HOUSE DISTRICT 108",2,2004,"Yes","John Melvin Rayfield","REP","108"
"16","NC STATE HOUSE DISTRICT 108",2,2004,"Yes","William F. Manning, Sr.","DEM","108"
"17","NC STATE HOUSE DISTRICT 109",2,2004,"Yes","William A. Current, Sr.","REP","109"
"18","NC STATE HOUSE DISTRICT 109",2,2004,"Yes","Shirley M. Wiggins","DEM","109"
"19","NC STATE HOUSE DISTRICT 11",1,2004,"No","Louis M. Pate, Jr.","REP","11"
"20","NC STATE HOUSE DISTRICT 110",2,2004,"Yes","Jim Long","DEM","110"
"21","NC STATE HOUSE DISTRICT 110",2,2004,"Yes","Debbie Ann Clary","REP","110"
"22","NC STATE HOUSE DISTRICT 111",2,2004,"Yes","Kathryn H. Hamrick","DEM","111"
"23","NC STATE HOUSE DISTRICT 111",2,2004,"Yes","Tim Moore","REP","111"
"24","NC STATE HOUSE DISTRICT 112",3,2004,"Yes","Ralph Haulk","LIB","112"
