"","contest","candidate_count","year","contested","choice","party","district"
"1","NC HOUSE (1)",1,2002,"No","W. C. (Bill) Owens, Jr.","DEM","1"
"2","NC HOUSE (10)",2,2002,"Yes","Russell E. Tucker","DEM","10"
"3","NC HOUSE (10)",2,2002,"Yes","Stephen LaRoque","REP","10"
"4","NC HOUSE (100)",2,2002,"Yes","James B. (Jim) Black","DEM","100"
"5","NC HOUSE (100)",2,2002,"Yes","Nick Cicali","REP","100"
"6","NC HOUSE (101)",1,2002,"No","Beverly M. Earle","DEM","101"
"7","NC HOUSE (102)",2,2002,"Yes","Daniel Elmaleh","LIB","102"
"8","NC HOUSE (102)",2,2002,"Yes","Becky Carney","DEM","102"
"9","NC HOUSE (103)",2,2002,"Yes","Andy Grum","LIB","103"
"10","NC HOUSE (103)",2,2002,"Yes","Jim Gulley","REP","103"
"11","NC HOUSE (104)",2,2002,"Yes","Ryan Murphy","LIB","104"
"12","NC HOUSE (104)",2,2002,"Yes","Connie Wilson","REP","104"
"13","NC HOUSE (105)",2,2002,"Yes","Ed McMahan","REP","105"
"14","NC HOUSE (105)",2,2002,"Yes","Sean Johnson","LIB","105"
"15","NC HOUSE (106)",1,2002,"No","Martha Alexander","DEM","106"
"16","NC HOUSE (107)",1,2002,"No","W. Pete Cunningham","DEM","107"
"17","NC HOUSE (108)",2,2002,"Yes","John Melvin Rayfield","REP","108"
"18","NC HOUSE (108)",2,2002,"Yes","John Covington","LIB","108"
"19","NC HOUSE (109)",3,2002,"Yes","Patrick McHenry","REP","109"
"20","NC HOUSE (109)",3,2002,"Yes","David Secrist","LIB","109"
"21","NC HOUSE (109)",3,2002,"Yes","John Eaker","DEM","109"
"22","NC HOUSE (11)",2,2002,"Yes","Phil Baddour","DEM","11"
"23","NC HOUSE (11)",2,2002,"Yes","Louis M. Pate, Jr.","REP","11"
"24","NC HOUSE (110)",1,2002,"No","Debbie A. Clary","REP","110"
"25","NC HOUSE (111)",2,2002,"Yes","Andy Dedmon","DEM","111"
"26","NC HOUSE (111)",2,2002,"Yes","Tim Moore","REP","111"
"27","NC HOUSE (112)",3,2002,"Yes","David Rogers","REP","112"
"28","NC HOUSE (112)",3,2002,"Yes","Ralph Haulk","LIB","112"
"29","NC HOUSE (112)",3,2002,"Yes","Bob England","DEM","112"
"30","NC HOUSE (113)",2,2002,"Yes","Trudi Walend","REP","113"
