"","year","contest","candidate_count","contested","choice","party","district"
"1",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 1",1,"No","W. C. (Bill) Owens, Jr.","DEM","1"
"2",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 104",1,"No","Ruth Samuelson","REP","104"
"3",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 105",1,"No","Ric Killian","REP","105"
"4",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 106",1,"No","Martha Alexander","DEM","106"
"5",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 111",1,"No","Tim Moore","REP","111"
"6",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 112",1,"No","Bob England","DEM","112"
"7",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 114",1,"No","Susan C. Fisher","DEM","114"
"8",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 118",1,"No","Ray Rapp","DEM","118"
"9",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 120",1,"No","Roger West","REP","120"
"10",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 14",1,"No","George G. Cleveland","REP","14"
"11",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 15",1,"No","Robert Grady","REP","15"
"12",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 16",1,"No","Carolyn Justice","REP","16"
"13",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 19",1,"No","Danny McComas","REP","19"
"14",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 20",1,"No","Dewey L. Hill","DEM","20"
"15",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 21",1,"No","Larry M. Bell","DEM","21"
"16",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 22",1,"No","William Brisson","DEM","22"
"17",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 24",1,"No","Jean Farmer Butterfield","DEM","24"
"18",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 27",1,"No","Michael H. Wray","DEM","27"
"19",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 28",1,"No","James H. Langdon, Jr.","REP","28"
"20",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 31",1,"No","H.M. (Mickey) Michaux","DEM","31"
"21",2008,"NC HOUSE OF REPRESENTATIVES DISTRICT 4",1,"No","Russell E. Tucker","DEM","4"
